algoritmo,M,pivo,massa,n,repeticoes,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,comparacoes_medias,trocas_medias
quicksort_mediana3,40,mediana3,repetidos,1000,10,0.014738,0.0147988,0.006953,0.00364098,7632.9,2536.5
quicksort_recursivo,1,meio,repetidos,10000,10,0.199865,0.204386,0.192861,0.0140972,135619,54817.8
quicksort_hibrido,40,meio,repetidos,10000,10,0.157336,0.15804,0.150632,0.00400455,102243,33790.8
quicksort_mediana3,40,mediana3,repetidos,10000,10,0.161638,0.160724,0.144401,0.00864972,101570,34211
quicksort_recursivo,1,meio,repetidos,100000,5,2.26082,2.26284,2.21204,0.0478647,1.68701e+06,712530
quicksort_hibrido,40,meio,repetidos,100000,5,1.78296,1.76421,1.70214,0.0461776,1.3572e+06,500738
quicksort_mediana3,40,mediana3,repetidos,100000,5,1.7766,1.79343,1.7425,0.0545827,1.35386e+06,501874
quicksort_recursivo,1,meio,repetidos,500000,3,11.7093,11.5515,11.1939,0.310413,9.77649e+06,4.13109e+06
quicksort_hibrido,40,meio,repetidos,500000,3,9.21452,9.19515,9.02134,0.164983,8.12466e+06,3.06895e+06
quicksort_mediana3,40,mediana3,repetidos,500000,3,9.16799,9.21296,9.08884,0.151695,7.8807e+06,3.07061e+06
quicksort_recursivo,1,meio,quase_ordenado,1000,10,0.0049995,0.0051204,0.004708,0.000449443,9049.3,533.6
quicksort_hibrido,40,meio,quase_ordenado,1000,10,0.0029505,0.0029575,0.002645,0.000169877,6007.9,73.1
quicksort_mediana3,40,mediana3,quase_ordenado,1000,10,0.0029205,0.0029346,0.002645,0.000168294,6098.6,67.5
quicksort_recursivo,1,meio,quase_ordenado,10000,10,0.062828,0.065019,0.062117,0.00655651,125767,6251.5
quicksort_hibrido,40,meio,quase_ordenado,10000,10,0.0388825,0.0414017,0.038322,0.00552094,90777.8,1159
quicksort_mediana3,40,mediana3,quase_ordenado,10000,10,0.0391285,0.0397805,0.038202,0.00227877,91981.1,1139.7
quicksort_recursivo,1,meio,quase_ordenado,100000,5,0.776206,0.788126,0.77277,0.0186525,1.60742e+06,70047.2
quicksort_hibrido,40,meio,quase_ordenado,100000,5,0.521068,0.515838,0.498806,0.0131614,1.30212e+06,12210
quicksort_mediana3,40,mediana3,quase_ordenado,100000,5,0.516259,0.523182,0.500519,0.0200684,1.31646e+06,12367.2
quicksort_recursivo,1,meio,quase_ordenado,500000,3,3.98753,3.96427,3.90272,0.0538259,9.04395e+06,300847
quicksort_hibrido,40,meio,quase_ordenado,500000,3,2.92739,3.23206,2.88741,0.56267,7.52761e+06,69365.7
quicksort_mediana3,40,mediana3,quase_ordenado,500000,3,2.91254,2.93691,2.90391,0.0498689,7.59919e+06,69628.3
