pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
meio,ordenado,1000,100,0.0028,0.002809575,0.00279,5.48386795874e-05,0,4973,15,200
meio,repetidos,1000,100,0.015805,0.015896825,0.01026,0.00109024046233,0.000845082,10603.545,6083.78,200
meio,aleatorio,1000,150,0.030515,0.03050722,0.02488,0.00124303854555,0.0010904523,30439.52,25531.935,200
meio,ordenado,1000,150,0.00233,0.00233783,0.00232,4.72565020386e-05,0,3988,7,200
meio,repetidos,1000,150,0.017755,0.017767155,0.01233,0.00131944912023,0.001267623,14195.98,10014.495,200
meio,aleatorio,1000,200,0.033585,0.033699085,0.02898,0.00175527727706,0.001534491,37894.335,33442.445,200
meio,ordenado,1000,200,0.00233,0.00236348,0.002319,0.000454466509925,0,3988,7,200
meio,repetidos,1000,200,0.020905,0.020987035,0.01663,0.00185711852607,0.0016834923,20447.29,16617.94,200
meio,aleatorio,10000,1,0.452676,0.45266764,0.440736,0.00560583602379,0.004581234,179430.72,33631.6,100
meio,ordenado,10000,1,0.0647095,0.06506838,0.0643,0.00174831754495,0.0002513007,125439,5904,100
meio,repetidos,10000,1,0.220163,0.22007885,0.210598,0.00486485824926,0.004855515,137059.33,54701.58,100
meio,aleatorio,10000,2,0.4542165,0.45621058,0.440067,0.0145440209314,0.0057013383,179430.72,33631.6,100
meio,ordenado,10000,2,0.0647245,0.06561467,0.064309,0.00362446941029,0.0002008923,125439,5904,100
meio,repetidos,10000,2,0.221183,0.22590271,0.211048,0.0245179690709,0.006923742,137059.33,54701.58,100
meio,aleatorio,10000,3,0.445172,0.45347945,0.431167,0.0265460563144,0.0068874183,175177.02,31977.32,100
meio,ordenado,10000,3,0.0603695,0.06346113,0.059919,0.00651817866619,0.0004885167,121821,4095,100
meio,repetidos,10000,3,0.216503,0.22732339,0.205449,0.0338657265149,0.0071157387,134525.8,52170.58,100
meio,aleatorio,10000,4,0.438627,0.43979813,0.422797,0.0078338086763,0.006908916,173152.76,31809.2,100
meio,ordenado,10000,4,0.0606945,0.06548386,0.06029,0.0147482374102,0.0004514517,121343,3856,100
meio,repetidos,10000,4,0.211513,0.21797896,0.199738,0.0287346114885,0.006945981,132255.97,49903.82,100
